subject,session_idx,session_name,n_eligible_frames,t0_prelog_order0,t0_prelog_order1,t0_prelog_order2,t1_prelog_order0,t1_prelog_order1,t1_prelog_order2,t2_prelog_order0,t2_prelog_order1,t2_prelog_order2,all_variants_finite,wst_seconds
12,0,8am,87,-0.0022092029789861183,0.0008137111033825591,1.5194961230181236e-06,-0.002690934792178465,0.001133835931798645,4.7227552217709025e-06,-0.0017689619589297215,0.0012916734108409048,8.142579302393166e-06,True,7.811756299997796
12,1,10am,100,-0.06222456953005733,0.0007160687031178113,1.3977678143512266e-06,-0.06010691726817459,0.0010494076055412621,4.1944774011771255e-06,-0.056552964911504744,0.0011734662795655454,7.142845475857259e-06,True,10.12178619999031
12,2,12pm,100,-0.1317318999548508,0.0007328117002965404,1.5732149027622033e-06,-0.12577774809135378,0.0010650555704854849,4.833481155723244e-06,-0.11846951650746053,0.0012374367893835648,8.294719728152204e-06,True,10.06025929999305
12,3,2pm,100,0.024586863171689607,0.0009916060833816056,2.3533972815606418e-06,0.02332482154721193,0.0014197605376647941,7.180197407930147e-06,0.022480622921398737,0.0016585643984451985,1.2281517856363013e-05,True,8.87616960000014
12,4,4pm,91,0.012421083036040219,0.000985448163993474,2.8625192001784956e-06,0.006705774378707118,0.0014452522633734157,8.95523157131348e-06,0.016515028135263603,0.0017068203844675524,1.5414672818377907e-05,True,9.200539400000707
13,0,8am,100,-0.055773306667651956,0.0008701222195025773,1.48611906228186e-06,-0.05482169091087899,0.0011647729718256472,4.5454644289026035e-06,-0.05256374476891987,0.001307580769876897,7.76283784555934e-06,True,9.681670300007681
13,1,10am,100,-0.027853794161211927,0.0008369665899038251,1.498039016134418e-06,-0.025589656869320146,0.0011872475754893211,4.444392948765985e-06,-0.02280125379424985,0.0013151381155019006,7.619161684706397e-06,True,9.197137199997087
13,2,12pm,100,-0.04578476034885987,0.0008511936429347225,1.467793572396269e-06,-0.04400329022253313,0.0011997808405091169,4.362755870777353e-06,-0.0410126361611875,0.0013209654827137907,7.479650126881038e-06,True,10.027946400005021
13,3,2pm,100,-0.05788024531320567,0.0008444075382184754,1.5150208725317908e-06,-0.057120786255753474,0.001189467396835798,4.511231457593876e-06,-0.055378561105130356,0.0013181985756205283,7.744403730082474e-06,True,8.95855969999684
13,4,4pm,100,-0.024130382406855902,0.0009149836230404421,1.5364997438818903e-06,-0.023069752214033425,0.0012542743752850937,4.540659938095572e-06,-0.021729206157531863,0.001372163597231509,7.763744368203242e-06,True,10.934752799992566
14,0,8am,100,-0.049037265514290225,0.0008106541091189312,1.4871760353875471e-06,-0.04788142145917095,0.0011610040811655278,4.418158893736894e-06,-0.04561606810258571,0.001281474761462917,7.529366746419368e-06,True,9.992109500002698
14,1,10am,100,-0.06920721029956842,0.0007939033643049338,1.5423844248884836e-06,-0.06863709322983691,0.0011390575126579232,4.5882701115095965e-06,-0.06706317604057246,0.0012615727653729268,7.847836504960994e-06,True,8.996693799999775
14,2,12pm,100,-0.05388227514707933,0.0008603377053296583,1.5185201783797982e-06,-0.05206880418624653,0.0012149732801953065,4.5207602987071605e-06,-0.04896562781576894,0.0013393708813121785,7.760263452217033e-06,True,11.02741199999582
14,3,2pm,100,-0.03799715472686397,0.0008455299322121389,1.4732663299371368e-06,-0.035392298024178405,0.0011954085258733804,4.38565969355946e-06,-0.032474578405422165,0.0013157431746225578,7.484385776593992e-06,True,10.024408099998254
14,4,4pm,100,-0.03872115163646424,0.000857379917484286,1.5328252612100494e-06,-0.037343240903224495,0.001202079411172312,4.551640370929895e-06,-0.03504988537800378,0.0013207202478720424,7.797801078083459e-06,True,8.951899399995455
15,0,8am,100,-0.0358278619927566,0.0008706991100999117,1.5424688889172904e-06,-0.03313220541085874,0.0012135516561406754,4.589097252857059e-06,-0.029810003154108613,0.0013357300513528745,7.864939878183705e-06,True,11.046278699999675
15,1,10am,100,-0.03704624409371929,0.0008559122788810761,1.5380109476039446e-06,-0.03585588989636323,0.0012059675852361747,4.592031808437812e-06,-0.033599426094534306,0.0013347174781814005,7.88801239491565e-06,True,9.967533599992748
15,2,12pm,100,-0.04550790261177206,0.0008081212097421573,1.4745641780466598e-06,-0.04375279813294842,0.001162428409745602,4.4003305755853824e-06,-0.040706997473362226,0.0012883973084107272,7.573560328539463e-06,True,9.085397999995621
15,3,2pm,100,-0.058733311893901005,0.0007963743340703926,1.5568931163816077e-06,-0.057014839950902396,0.0011455502242813903,4.61460750667244e-06,-0.05486805606513914,0.0012680553293329976,7.902100573866628e-06,True,10.871017099998426
15,4,4pm,100,-0.06109936722977759,0.0008428466347183527,1.5567239967492312e-06,-0.06054782364591167,0.0011934711248766158,4.650658473216073e-06,-0.059001967872938675,0.0013282954783779357,7.987582866740313e-06,True,10.050459600010072
16,0,8am,100,0.06792411937471242,0.0010543813440226967,3.1344220655010614e-06,0.07424435877725512,0.0015239060334747397,9.76870824855769e-06,0.08268548889850036,0.001817210257542635,1.6819565206961718e-05,True,8.853069599994342
16,2,12pm,100,0.04284988958408148,0.0009291725449857675,2.5242962556950856e-06,0.048032735852705746,0.0013665947666833965,7.819022925205995e-06,0.055050816774456404,0.0016124908938017946,1.3445393566935702e-05,True,10.958317999989958
16,3,2pm,80,0.025233939394720628,0.0007148601681083136,1.8817900361754957e-06,0.017362869190845825,0.001075426567672065,5.849432060920663e-06,0.010363534452083142,0.0012664258993069447,1.0129549743336862e-05,True,8.298048100012238
16,4,4pm,100,-0.041116413594707545,0.0008843178607748326,1.6376536788662935e-06,-0.028627716166787366,0.001292524998610913,5.15899228339019e-06,-0.016403987012478423,0.0014803229879158041,8.855710620988366e-06,True,8.933488900001976
