subject,session_idx,session_name,rel_path,n_raw,n_pass,pass_fraction,fail_fraction,min_pass_existing_qc,eligible_existing_qc,n_fail_any,n_nan_inf,n_flatline,n_low_in_band,n_rms_flagged,rms_flag_fraction_defined,n_nonfinite_raw,block_0_n_pass,block_1_n_pass,block_2_n_pass,block_3_n_pass,block_4_n_pass,minimum_block_n_pass,raw_rms_median,raw_rms_mad,in_band_ratio_median,in_band_ratio_p10,in_band_ratio_p10_margin,energy_retention_median,energy_retention_mad,roi_to_total_median,roi_to_total_mad,peak_share_median,peak_share_mad,peak_bin_median,peak_bin_mad,peak_bin_iqr,peak_bin_mode,peak_bin_mode_share,peak_range_m_median,peak_range_m_mad,component_missing_reasons,audit_status,repeatability_missing_reason
9,2,12pm,subject_9_12pm.mat,100,100,1,0,50,True,0,0,0,0,2,0.02,0,20,20,20,20,20,20,16.33852454913557,2.6057104245641911,0.78971049352839606,0.64860990068442592,0.34860990068442593,0.58807561564930744,0.08970131776900403,0.95176962890438577,0.0082250730855079057,0.51060306471579797,0.012582903522666777,5,0,0,5,0.92000000000000004,1.4970928426184582,0,{},REPEATABILITY_ANALYSABLE,
9,3,2pm,subject_9_2pm.mat,100,100,1,0,50,True,0,0,0,0,17,0.17000000000000001,0,20,20,20,20,20,20,12.581622908241133,0.59806431547320393,0.72377615165200082,0.62306543345987242,0.32306543345987243,0.32863413597739277,0.053541947393300676,0.77526701533687969,0.036868757967492338,0.73852741405989586,0.068488919117660363,6,0,0,6,1,1.7965114111421496,0,{},REPEATABILITY_ANALYSABLE,
9,4,4pm,subject_9_4pm.mat,100,100,1,0,50,True,0,0,0,0,0,0,0,20,20,20,20,20,20,22.01785758396182,1.0874164992571256,0.65782446347159873,0.62546561191734407,0.32546561191734408,0.45506926148714438,0.013154978389486177,0.88715643118091714,0.0051651692148718675,0.6136941716981591,0.013853027148309327,6,0,0,6,1,1.7965114111421496,0,{},REPEATABILITY_ANALYSABLE,
10,0,8am,subject_10_8am.mat,100,100,1,0,50,True,0,0,0,0,22,0.22,0,20,20,20,20,20,20,12.822421768150587,3.4522623814664977,0.7687286887892707,0.68140902981683116,0.38140902981683117,0.48373811475246359,0.10029950524972259,0.94271186225262749,0.0076024341466813805,0.49136389035342143,0.012076227281319352,5,0,1,5,0.56999999999999995,1.4970928426184582,0,{},REPEATABILITY_ANALYSABLE,
10,1,10am,subject_10_10am.mat,100,100,1,0,50,True,0,0,0,0,8,0.080000000000000002,0,20,20,20,20,20,20,17.320657094148117,2.6136649856060119,0.67519277981892523,0.56514104028311452,0.26514104028311453,0.56479214238876507,0.027876157103599697,0.94397328528469582,0.01114903539548312,0.50777582154491807,0.020794298605315037,5,0,0,5,0.87,1.4970928426184582,0,{},REPEATABILITY_ANALYSABLE,
10,2,12pm,subject_10_12pm.mat,100,100,1,0,50,True,0,0,0,0,34,0.34000000000000002,0,20,20,20,20,20,20,15.915900624174476,1.6730965759307894,0.86866103410074569,0.79465642488936805,0.49465642488936806,0.60513772539362487,0.029821038366425967,0.88412455065604556,0.0082194250633220722,0.61332516151645367,0.019913296332386254,6,0,0,6,1,1.7965114111421496,0,{},REPEATABILITY_ANALYSABLE,
10,3,2pm,subject_10_2pm.mat,100,100,1,0,50,True,0,0,0,0,17,0.17000000000000001,0,20,20,20,20,20,20,12.581622908241133,0.59806431547320393,0.82820764209194997,0.80041500544608668,0.50041500544608675,0.40658121936602776,0.021120216726364188,0.89821205133916115,0.012417771929458421,0.45388047951498323,0.025065177569472352,6,0,0,6,0.76000000000000001,1.7965114111421496,0,{},REPEATABILITY_ANALYSABLE,
10,4,4pm,subject_10_4pm.mat,100,100,1,0,50,True,0,0,0,0,71,0.70999999999999996,0,20,20,20,20,20,20,11.723223744802862,0.52815624221471413,0.47552295281706702,0.43072853841881409,0.1307285384188141,0.16368527411203071,0.027675549075494701,0.93097899446584531,0.032957841876556426,0.52883353076980666,0.045296886212372101,5,0,1,5,0.56999999999999995,1.4970928426184582,0,{},REPEATABILITY_ANALYSABLE,
11,0,8am,subject_11_8am.mat,100,100,1,0,50,True,0,0,0,0,6,0.059999999999999998,0,20,20,20,20,20,20,14.363295591975387,1.8744186360724102,0.79615649021648127,0.6627583782015436,0.36275837820154361,0.49048991870144315,0.076106405718699144,0.9492877301075614,0.0060380682308301958,0.49460100787963179,0.011844186351276625,5,0,0,5,0.87,1.4970928426184582,0,{},REPEATABILITY_ANALYSABLE,
11,1,10am,subject_11_10am.mat,100,100,1,0,50,True,0,0,0,0,1,0.01,0,20,20,20,20,20,20,10.988478799042916,0.60004629438314083,0.42201084928073557,0.39587155061679696,0.095871550616796974,0.060633344485819307,0.011319123282719161,0.89003233281837191,0.03109177166102256,0.44702513233870161,0.029866558307309082,5,0,1,5,0.52000000000000002,1.4970928426184582,0,{},REPEATABILITY_ANALYSABLE,
11,2,12pm,subject_11_12pm.mat,100,100,1,0,50,True,0,0,0,0,4,0.040000000000000001,0,20,20,20,20,20,20,13.121338049838435,2.8985088570037352,0.8373099473567357,0.70802212465278225,0.40802212465278226,0.63661711127377507,0.050650155213319281,0.94333674636177012,0.011436016708803565,0.50781140867805719,0.015599849864058435,5,0,0,5,0.75,1.4970928426184582,0,{},REPEATABILITY_ANALYSABLE,
11,3,2pm,subject_11_2pm.mat,100,100,1,0,50,True,0,0,0,0,1,0.01,0,20,20,20,20,20,20,7.334663123981878,0.21869884112481985,0.52369909547335547,0.40581424355117007,0.10581424355117008,0.14351349771606556,0.032671156365301809,0.96412612705562684,0.011515639770723951,0.5449609387942963,0.020306303687043448,5,0,0,5,1,1.4970928426184582,0,{},REPEATABILITY_ANALYSABLE,
11,4,4pm,subject_11_4pm.mat,100,100,1,0,50,True,0,0,0,0,0,0,0,20,20,20,20,20,20,10.497170403027244,0.67322662802703359,0.39895540599192136,0.36808352028968183,0.068083520289681843,0.13182351569527953,0.0231606116090603,0.9251400459696546,0.025267258823071903,0.56834832136084401,0.043074594190395443,5,0,0,5,1,1.4970928426184582,0,{},REPEATABILITY_ANALYSABLE,
12,0,8am,subject_12_8am.mat,100,87,0.87,0.13,50,True,13,0,0,13,2,0.02,0,10,18,19,20,20,10,14.758353805397272,0.82631067824943116,0.36373436552310456,0.29508610737737589,-0.0049138926226240942,0.18429917067649607,0.017289091078708768,0.92794601818939493,0.0084194544273995531,0.49663187763044514,0.0095371085176380044,5,0,1,5,0.56321839080459768,1.4970928426184582,0,{},REPEATABILITY_ANALYSABLE,
12,1,10am,subject_12_10am.mat,100,100,1,0,50,True,0,0,0,0,0,0,0,20,20,20,20,20,20,11.039045494416275,0.22038768107945472,0.70989222846222777,0.66594566651873766,0.36594566651873767,0.32966727166741844,0.029553194102867691,0.91197598788471212,0.0073862232200658795,0.54950733369735949,0.017136030546534509,6,0,0,6,1,1.7965114111421496,0,{},REPEATABILITY_ANALYSABLE,
