subject,session_a_idx,session_a_name,session_b_idx,session_b_name,recorded_mass_kg,diagnostic_channel,diagnostic_role,tiling_idx,scattering_order,view,between_session_distance,between_distance_numerator,within_a,within_b,epsilon_distance_a,epsilon_distance_b,between_to_within_denominator,between_to_within_ratio,exactly_identical,common_path_count,common_vector_dimension,n_near_zero_path_blocks_a,n_near_zero_path_blocks_b,n_inactive_paths_a,n_inactive_paths_b,missing_reason
6,3,2pm,4,4pm,49.700000000000003,mag,primary,0,1,path_energy_composition,0.1872550643602201,0.1872550643602201,0.11898030011671845,0.07888987445975032,1.7393025099128849e-13,1.39917930626777e-13,0.14275827159271565,1.311693271927894,False,55,55,0,0,0,0,
6,3,2pm,4,4pm,49.700000000000003,mag,primary,0,2,within_path_shape,0.15710506945779307,0.15710506945779307,0.085828326580842274,0.091311177347193184,1.3259679340883553e-13,1.4853452016316836e-13,0.12531653024321365,1.2536659701069315,False,686,4116,1,2,0,0,
6,3,2pm,4,4pm,49.700000000000003,mag,primary,0,2,path_energy_composition,0.055332696057492373,0.055332696057492373,0.054086318758883006,0.021921744473562134,7.1359346530353171e-14,4.1086056343836172e-14,0.058360027053212131,0.94812663481188131,False,686,686,1,2,0,0,
6,3,2pm,4,4pm,49.700000000000003,mag,primary,1,0,within_path_shape,0.86531328123161155,0.86531328123161155,0.10831154829551852,0.15960222826025167,2.0762337848711004e-13,2.6116910841368711e-13,0.19288406559332452,4.48618333800591,False,1,5,0,0,0,0,
6,3,2pm,4,4pm,49.700000000000003,mag,primary,1,0,path_energy_composition,,,,,,,,,,,,,,,,not_applicable_single_path
6,3,2pm,4,4pm,49.700000000000003,mag,primary,1,1,within_path_shape,0.028656123361214328,0.028656123361214328,0.018386246152407686,0.0096271999972847438,3.1128676096309681e-14,2.101914301343985e-14,0.020754205052582617,1.3807381823881715,False,54,270,0,0,0,0,
6,3,2pm,4,4pm,49.700000000000003,mag,primary,1,1,path_energy_composition,0.32980395704117227,0.32980395704117227,0.20216609497735583,0.07928263826400192,2.2162694533832911e-13,1.4481342203061936e-13,0.2171563185553067,1.518739860922701,False,54,54,0,0,0,0,
6,3,2pm,4,4pm,49.700000000000003,mag,primary,1,2,within_path_shape,0.033629213563840028,0.033629213563840028,0.016876905811928994,0.013993650011179901,3.2212645663540846e-14,2.4078713229997349e-14,0.021923781389626147,1.5339148373260387,False,411,2055,0,0,0,0,
6,3,2pm,4,4pm,49.700000000000003,mag,primary,1,2,path_energy_composition,0.043333069904927871,0.043333069904927871,0.05360103622773138,0.018573257058559157,5.8876017606441745e-14,3.9834790307703938e-14,0.056727744203783473,0.76387789631229086,False,411,411,0,0,0,0,
6,3,2pm,4,4pm,49.700000000000003,mag,primary,2,0,within_path_shape,1.4702960311527986,1.4702960311527986,0.122239392089287,0.24468473274695343,2.0812672873195079e-13,3.3666582737633378e-13,0.27351981174643725,5.3754644746385543,False,1,5,0,0,0,0,
