subject,session_idx,session_name,rel_path,n_frames,n_pass,n_fail_any,n_nan_inf,n_flatline,n_low_in_band,min_pass,eligible,sha256,axis_spec_hash,axis_verdict,axis_G_fast,axis_G_chirp,axis_D_chirp,axis_D_fast
14,4,4pm,subject_14_4pm.mat,125,125,0,0,0,0,63,True,d975d1a14809d5bddec569dd8718ea7e7dba813b2c55cb99fa09a0c25f442fdf,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.23659651095764497,1.3673534998035874e-06,0.9999772616720896,0.4805871847657055
15,0,8am,subject_15_8am.mat,125,0,125,0,0,125,63,False,0696ec71113ca2bcb0a31be5339843c5c9efad9b48f6a36bd0898211a4b5ad2e,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.17004479294094493,1.3019651075120064e-06,0.9999844683147501,0.5998692762570951
15,1,10am,subject_15_10am.mat,125,0,125,0,0,125,63,False,d9d94e0eb71b6a57ca866525a3805458f28975f0cd58956f971d56bf3a379cfb,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.15692368085067315,1.2770874463518988e-06,0.9999876044330861,0.6119314648313943
15,2,12pm,subject_15_12pm.mat,125,125,0,0,0,0,63,True,e8d393966dfe0657311c989707adfb7f3dd844fa2b98e1e0f29e6a7d28fb6d96,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.22884968241359885,1.2833190459484203e-06,0.999987273642825,0.49690856038071507
15,3,2pm,subject_15_2pm.mat,125,125,0,0,0,0,63,True,f65e0d5867fa9779e734ee497563af286e9e2df821d00e08bbe3e40e51cffc95,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.20204366689375183,1.3346033507053768e-06,0.999982439756329,0.5233796925059148
15,4,4pm,subject_15_4pm.mat,125,125,0,0,0,0,63,True,9d343c84e76082a4818a7660e5a760e9105503e4f11b9d5b156193d783f80248,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.18966545870162888,1.302502096165288e-06,0.9999846854901521,0.5224995198054105
16,0,8am,subject_16_8am.mat,125,125,0,0,0,0,63,True,8e8103c321ed8e2a99e4413d3f2e38e17a6afa90d948f7639f2f13fe6a5b2e21,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.22882581907181276,1.3012485262394388e-06,0.9999838371326459,0.48959857797355577
16,1,10am,subject_16_10am.mat,125,125,0,0,0,0,63,True,d1e87446abe535c64dc491cedba9a823eb7ab31f74970f956d7fce53ec89fe39,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.2242126993724801,1.3046039675837525e-06,0.9999823362138257,0.49933500531198266
16,2,12pm,subject_16_12pm.mat,125,125,0,0,0,0,63,True,6ca08129225ddb63840bbc9f5aca5d850026f842187731a0c905d4d603eaaf62,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.21562760397820455,1.3253559662802108e-06,0.999981855595931,0.5146045474731916
16,3,2pm,subject_16_2pm.mat,125,125,0,0,0,0,63,True,8ac18aa75675376e1c695e5e9aeb8f947b94992433d44259e62dc70ad22d5193,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.19509393766215014,1.3310015214301578e-06,0.9999833099363564,0.5321614569902247
16,4,4pm,subject_16_4pm.mat,125,125,0,0,0,0,63,True,71a6eb1de42f7637e19c95bd2a0f270ba7cfa680dff040949a504c2545110ba8,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.2184415846217524,1.2874967914377772e-06,0.9999847424226993,0.5121318901490396
